feature,coefficient_for_slow,odds_ratio
cat__service_name_Parks - Wildlife Management,-1.1953389295916825,0.3026013762388834
cat__agency_responsible_AO - Calgary Parking Authority,-1.2187292892831725,0.29560555751696793
cat__service_name_After Hours Transit - General Concerns,-1.257291001170536,0.28442348668833795
cat__service_name_UEP - Odour Inquiries,-1.269390463779912,0.2810028510035056
cat__agency_responsible_IS - Real Estate and Development Services,-1.2698949927862473,0.2808611126728676
cat__service_name_WATR - Erosion and Sediment Control,-1.276834637806328,0.2789187835831634
cat__location_type_Community Centrepoint,-1.2934866113820602,0.2743126920604096
cat__agency_responsible_IS - Public Spaces Delivery,-1.2940739949615756,0.27415161260178644
cat__service_name_Roads - Detour Inquiry,-1.2952738912662884,0.27382285637103165
cat__agency_responsible_OSC - Waste and Recycling Services,-1.320662387997062,0.2669584133391558
cat__agency_responsible_CPFS - Finance,-1.3438072755470345,0.2608506453350122
cat__service_name_Roads - Snow and Ice Control,-1.4157366563406915,0.24274672665241506
"cat__agency_responsible_PICS - Collaboration, Analytics and Innovation",-1.4494783611825122,0.23469268098116186
cat__agency_responsible_IS - Capital Priorities and Investments,-1.476142414927841,0.22851751604635484
cat__agency_responsible_CS - Recreation and Social Programs,-1.493570180023706,0.2245694691997848
cat__service_name_Recreation - Athletic Park Application,-1.5110793550701134,0.22067166628922008
cat__service_name_Evacuated Residents Registration Form,-1.5127728890399126,0.22029826759711582
cat__service_name_Roads Permits - Requests and Inquiries,-1.5641095058036838,0.20927428776144352
cat__service_name_CT - Fair Entry Inquiry,-1.6307280760308478,0.19578697441826753
cat__service_name_CT - Snow and Ice Control,-1.7095514876156248,0.18094693135952594
cat__service_name_WATS - Water Outage,-1.7632599798345026,0.17148491424442874
cat__source_Web,-1.7694577732708168,0.1704253729691248
cat__service_name_AS - Pick Up Stray,-1.786192892568866,0.16759701647257827
cat__agency_responsible_LLSS - Law,-1.842051974749769,0.1584918708885018
cat__service_name_WATS - Water Main Break or Leak,-1.8635138182802369,0.15512658494769896
cat__agency_responsible_LL - City Clerk's,-1.9425116350476,0.14334347078629817
cat__service_name_Parks - Venue Bookings and Inquiries,-2.1831627921233063,0.1126845685737054
cat__agency_responsible_Elected Officials,-2.191455421311734,0.11175398107265981
cat__agency_responsible_PICS - Human Resources,-2.319354016745243,0.09833708920396954
cat__service_name_Roads - Streetlight Damage,-2.445627397848216,0.0866717401766607
cat__service_name_WATS - Service and Main Valve Issues,-2.4864498284053607,0.08320483428920923
cat__service_name_Roads - Boulevard Maintenance,-2.5159976431962066,0.08078228010023912
cat__service_name_Parks - Parks and Open Spaces Bookings,-2.635062214567436,0.0717145075827288
cat__service_name_Recreation - Arena Booking Application,-2.6722595669038203,0.06909592192849667
cat__service_name_AS - Animal Damaging Pet or Property,-2.747402659643605,0.0640941194416621
cat__service_name_Roads - Street Paving Program,-2.751520712827822,0.06383071916940707
cat__service_name_WRS - Debris in Backlane,-2.809378903913804,0.060242397092271825
cat__service_name_Roads - Local Improvement Inquiry,-2.8947839455123896,0.055310973987983104
cat__service_name_Roads - Employee Complaint - Compliment,-3.065115574734356,0.04664845017066924
cat__service_name_Roads - Signs - Missing - Damaged,-3.1934506545215844,0.04103004587183061
cat__service_name_Corporate - Face Covering Concerns,-3.2539275863905814,0.03862221745378925
cat__service_name_WATS - Fire Hydrant,-3.3723693342420167,0.03430825324927731
cat__service_name_Parks - Mowing Request - WAM,-3.3788001644855576,0.03408833059721835
cat__service_name_Bylaw - Snow and Ice on Sidewalk,-3.464184839273178,0.03129850834524205
cat__service_name_Roads - Signs - Parking,-3.5362478390184777,0.029122394246838382
cat__service_name_Parks - Wildlife Sightings,-3.594103066211102,0.02748532463985167
cat__service_name_Recreation - School Facility Booking Application,-3.686765655737783,0.02505290085057247
cat__service_name_WATS - Emergency Water Temporary Off,-3.7099689060085574,0.024478284387384815
cat__service_name_Parks - Snow and Ice Concerns - WAM,-3.938382204590536,0.01947970344218947
cat__agency_responsible_Recreation and Social Programs,-4.268463911433261,0.014003276914516838
cat__agency_responsible_OS - Parks and Open Spaces,-4.418568100248419,0.012051476441948601
cat__service_name_Roads - Traffic or Pedestrian Light Repair,-4.529752520902752,0.010783344394888648
cat__agency_responsible_OS - Waste and Recycling Services,-4.685193299050985,0.009230950105870326
cat__service_name_Roads - Signs - Traffic and Roadmarking,-4.818151703919108,0.008081710737519942
cat__service_name_Roads - Dead Animal Pick-Up,-5.171974567797316,0.005673355327230996
cat__agency_responsible_CPFS - Assessment and Tax,-5.6080535991242035,0.0036682022057741995
cat__service_name_Roads - Detour Urgent (Safety) Concerns,-5.972522628928526,0.0025478061360271545
"cat__agency_responsible_PDS - Development, Business and Building Services",-6.184802641451394,0.002060508171411127
cat__service_name_Roads - Streetlight Maintenance,-6.27412226496095,0.0018844443709391447
